Variáveis Quantitativas
variavel,media_amostral,mediana,moda,variancia_amostral,dp_amostral,coeficiente_variacao,quartil_1,quartil_2,quartil_3
IDADE1,58.332,59.0,60.0,126.87953507014028,11.264081634564812,0.1931029560886788,52.0,59.0,66.0
ALTURA,1.656542443064182,1.66,1.7,0.007317687134102573,0.0855434809561931,0.05163977615807985,1.6,1.66,1.72
PESO,72.86868686868686,72.0,67.0,165.88469869030993,12.879623390856967,0.17675113885428886,64.0,72.0,80.0
IMC,26.438840579710146,26.275,26.438840579710142,14.359773448345967,3.7894291718339277,0.14332811457481362,24.0525,26.275,28.372500000000002
PSR,14.10261569416499,14.0,14.0,4.941416031257687,2.222929605556075,0.15762534084197022,12.0,14.0,16.0
PDR,8.492957746478872,8.0,8.0,1.2950407857969461,1.1379985877833707,0.13399320021993255,8.0,8.0,9.0
COL,214.98863636363635,214.98863636363637,214.98863636363637,2713.064014392421,52.08708106999682,0.24227829875573342,183.0,214.98863636363637,236.0
TRIG,172.05188679245282,168.0,172.05188679245282,7853.2923015843,88.61880331839457,0.5150702207950555,115.0,168.0,199.25


Variáveis Qualitativas/Categóricas

SEXO
Categoria,Frequência Absoluta,Frequência Relativa
Masculino,352,0.704
Feminino,148,0.296
Moda: Masculino

DIAB
Categoria,Frequência Absoluta,Frequência Relativa
Não,416,0.832
Sim,84,0.168
Moda: Não

AH3
Categoria,Frequência Absoluta,Frequência Relativa
Sem parente,207,0.414
1 parente,157,0.314
2 ou mais parentes,136,0.272
Moda: Sem parente

ANGEST
Categoria,Frequência Absoluta,Frequência Relativa
Não,297,0.594
Sim,203,0.406
Moda: Não

ARTER
Categoria,Frequência Absoluta,Frequência Relativa
Não possui,443,0.886
Arteriopatia Carotídea,32,0.064
Arteriopatia Aortolíaca,24,0.048
Arteriopatia Carotídea e Aortolíaca,1,0.002
Moda: Não possui

ARRIT
Categoria,Frequência Absoluta,Frequência Relativa
Não,437,0.874
Sim,63,0.126
Moda: Não

OBESO
Categoria,Frequência Absoluta,Frequência Relativa
Não,454,0.908
Sim,46,0.092
Moda: Não

TABAG4
Categoria,Frequência Absoluta,Frequência Relativa
Não Fumante,222,0.44668008048289737
Fumante Leve/Moderado,96,0.193158953722334
Fumante Pesado,90,0.18108651911468812
Ex-Fumante,89,0.1790744466800805
Moda: Não Fumante

INFARTO
Categoria,Frequência Absoluta,Frequência Relativa
Não,329,0.658
Sim,171,0.342
Moda: Não

GLO
Categoria,Frequência Absoluta,Frequência Relativa
Maior ou igual a 50%,330,0.66
Menor que 50%,170,0.34
Moda: Maior ou igual a 50%
